ts,elapsed_s,target,queue_depth,queue_ratio,max_queue_size,workers,processed_completed,processed_failed,processing_count,processing_sum
1780593609.701,17.215,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593609.701,17.215,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593610.224,17.738,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593610.224,17.738,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593610.749,18.263,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593610.749,18.263,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593611.273,18.787,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593611.273,18.787,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593611.792,19.306,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593611.792,19.306,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593612.312,19.826,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593612.312,19.826,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
